"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"Lamar County","GA","Atlanta-Sandy Springs-Roswell",1454,1029,-0.0032,-0.0133,-0.0012,6114
2020-01-31,"Unicoi County","TN","Johnson City",1455,935,-0.0165,-0.0409,0.0099,7528
2020-01-31,"McCreary County","KY",,1456,814,-0.0066,-0.0022,0.0126,3242
2020-01-31,"Montour County","PA","Bloomsburg-Berwick",1457,992,-0.0066,-0.0439,-0.083,6331
2020-01-31,"Mariposa County","CA",,1458,1738,0.0003,0.0029,0.045,4266
2020-01-31,"Johnson County","TN",,1459,886,-0.0263,-0.0619,-0.0465,6423
2020-01-31,"Appling County","GA",,1460,995,0.027,0.0292,0.0996,5077
2020-01-31,"Bosque County","TX",,1461,1250,0.0124,0.0113,0.0308,7266
2020-01-31,"Hart County","KY",,1462,861,0.0069,0.0191,0.029,3837
2020-01-31,"Sainte Genevieve County","MO",,1463,887,0.0109,0.0308,0.0717,1411
2020-01-31,"Clayton County","IA",,1464,854,-0.0137,-0.0122,0.0041,7803
2020-01-31,"Franklin County","AR",,1465,777,-0.0059,0.0074,-0.0047,4748
2020-01-31,"Lincoln County","WY",,1466,1209,-0.0063,0.0417,0.0284,9416
2020-01-31,"Jackson County","AR",,1467,759,0.003,0.0077,-0.0448,5778
2020-01-31,"Randolph County","AR",,1468,804,0.0142,0.0054,-0.0307,6768
2020-01-31,"Los Alamos County","NM","Los Alamos",1469,1313,-0.0181,-0.0036,0.0311,8117
2020-01-31,"Cross County","AR",,1470,769,-0.0059,0.0177,-0.0409,5973
2020-01-31,"Pike County","GA","Atlanta-Sandy Springs-Roswell",1471,1166,-0.0022,-0.0002,0.0402,6851
2020-01-31,"Morgan County","GA","Atlanta-Sandy Springs-Roswell",1472,1375,0.0118,0.0312,0.0564,7734
2020-01-31,"Grant County","AR","Little Rock-North Little Rock-Conway",1473,884,0.0005,-0.0142,-0.0288,2084
2020-01-31,"Chaffee County","CO",,1474,1703,0.0092,0.0128,0.069,7691
2020-01-31,"Avery County","NC",,1475,1129,0.0012,-0.0084,-0.023,15384
2020-01-31,"Bond County","IL","St. Louis",1476,1001,0.0217,0.0195,0.0314,5884
2020-01-31,"Tama County","IA",,1477,876,0.002,0.0083,-0.0318,7386
2020-01-31,"Delaware County","IA",,1478,860,-0.0128,0.0296,-0.0217,6872
2020-01-31,"Ben Hill County","GA","Fitzgerald",1479,955,0.0009,-0.0341,0.0103,5454
2020-01-31,"Cooper County","MO",,1480,859,0.0138,-0.0068,0.0125,6621
2020-01-31,"Washington County","AL",,1481,960,0.0023,0.0408,0.0807,2794
2020-01-31,"Russell County","KY",,1482,837,0.0106,0.0014,-0.0013,3136
2020-01-31,"Morgan County","WV",,1483,942,-0.0046,-0.0053,-0.0242,10919
2020-01-31,"Piscataquis County","ME",,1484,1123,-0.0227,-0.0403,0.0459,4401
2020-01-31,"Hardin County","IA",,1485,775,-0.0024,0.0016,-0.0137,8355
2020-01-31,"Gaines County","TX",,1486,1358,-0.0266,-0.0167,0.0245,1355
2020-01-31,"Benzie County","MI","Traverse City",1487,1055,-0.0113,0.0003,-0.0197,4176
2020-01-31,"Westmoreland County","VA",,1488,1253,0.0083,0.0361,0.0105,8761
2020-01-31,"Colonial Heights City","VA","Richmond",1489,1191,0.002,-0.0329,-0.005,6886
2020-01-31,"Beadle County","SD","Huron",1490,903,0.0125,0.0015,0.0018,5149
2020-01-31,"Rush County","IN",,1491,886,0.0011,-0.0199,-0.0015,7002
2020-01-31,"Chickasaw County","MS",,1492,950,0.0149,0.0278,-0.0091,4873
2020-01-31,"Parke County","IN",,1493,919,-0.0064,-0.0254,0.0547,6398
2020-01-31,"Henry County","AL","Dothan",1494,901,-0.0149,0.0191,0.0313,6574
2020-01-31,"Van Buren County","AR",,1495,790,0.0092,0.0156,0.0215,7840
2020-01-31,"Sharp County","AR",,1496,777,0.0021,-0.0101,-0.0008,8261
2020-01-31,"Fayette County","AL",,1497,781,-0.0216,-0.0192,-0.0591,5369
2020-01-31,"Fountain County","IN",,1498,897,-0.0054,-0.0274,0.0412,6655
2020-01-31,"Frio County","TX",,1499,1212,0.0222,-0.0071,-0.0186,2019
2020-01-31,"Cook County","GA",,1500,968,-0.0008,0.0016,0.0307,5146
2020-01-31,"Burleson County","TX","College Station-Bryan",1501,1229,-0.0073,-0.0144,-0.0163,6089
2020-01-31,"Kalkaska County","MI","Traverse City",1502,864,-0.023,0.0094,-0.0256,2240
2020-01-31,"Pitkin County","CO","Glenwood Springs",1503,11110,0.0115,0.0076,-0.2021,14388
2020-01-31,"Chester County","TN","Jackson",1504,1053,0.0164,0.045,0.0965,5610
2020-01-31,"Crawford County","IA",,1505,888,0.0183,0.0184,0.0073,5989
2020-01-31,"Sevier County","AR",,1506,854,0.0216,0.0491,0.0855,4429
2020-01-31,"Rockcastle County","KY","Richmond-Berea",1507,807,0.0121,0.0055,-0.0251,2749
2020-01-31,"Bates County","MO","Kansas City",1508,832,-0.0227,0.0009,0.0213,5898
2020-01-31,"Hughes County","SD","Pierre",1509,935,0.0223,0.0428,0.0344,5089
2020-01-31,"Wayne County","TN",,1510,972,0.0086,0.0329,0.0365,5102
2020-01-31,"Gilchrist County","FL","Gainesville",1511,1384,-0.0047,-0.0127,0.0701,3173
2020-01-31,"Jefferson County","GA",,1512,930,0.0041,-0.0124,-0.0406,5077
2020-01-31,"Atchison County","KS","Atchison",1513,861,0.0206,0.0189,0.0096,6666
2020-01-31,"Scurry County","TX","Snyder",1514,1283,0.0077,0.004,0.0444,5552
2020-01-31,"Garrard County","KY",,1515,870,-0.0067,0.0027,0.0009,3687
2020-01-31,"Taylor County","WV","Clarksburg",1516,881,0.0051,0.023,-0.0014,6500
2020-01-31,"Jefferson County","IA","Fairfield",1517,857,0.0252,0.0412,0.0195,6759
2020-01-31,"Polk County","TN","Cleveland",1518,971,-0.0192,-0.0115,0.033,6070
2020-01-31,"Leon County","TX",,1519,1256,-0.0247,0.0239,0.0233,6961
2020-01-31,"Dallas County","MO","Springfield",1520,781,-0.0152,0.0165,0.0251,7141
2020-01-31,"Seward County","NE","Lincoln",1521,994,-0.003,-0.0047,-0.0438,5536
2020-01-31,"Gem County","ID","Boise City",1522,1263,0.0032,0.0074,0.0367,10668
2020-01-31,"Clay County","IA","Spencer",1523,879,0.0103,0.0028,0.0027,7107
2020-01-31,"Dickinson County","IA","Spirit Lake",1524,1083,0.0061,-0.0708,-0.0441,13044
2020-01-31,"Marion County","AR",,1525,880,-0.0066,-0.0383,-0.0161,2666
2020-01-31,"Dade County","GA","Chattanooga",1526,1195,-0.0283,0.0028,0.0459,5913
2020-01-31,"Robertson County","TX","College Station-Bryan",1527,1279,-0.0266,-0.0186,0.0256,2054
2020-01-31,"Lee County","TX",,1528,1378,0.01,0.014,0.0455,4548
2020-01-31,"Barbour County","WV",,1529,851,0.0103,0.0383,0.0274,7057
2020-01-31,"Pawnee County","OK","Tulsa",1530,882,0,-0.0073,0.0259,5175
2020-01-31,"Dewitt County","IL","Bloomington",1531,1022,0.0128,-0.0028,0.0232,6116
2020-01-31,"Sawyer County","WI",,1532,980,-0.0009,0.0492,0.0492,2632
2020-01-31,"Humboldt County","NV","Winnemucca",1533,1336,0.0073,0.0153,0.0469,3517
2020-01-31,"Neosho County","KS",,1534,785,0.0079,0.0155,0.0357,6592
2020-01-31,"Telfair County","GA",,1535,964,0.0159,0.0211,0.0306,3613
2020-01-31,"Benton County","TN",,1536,937,0.0146,0.0714,0.0801,6155
2020-01-31,"Pike County","IL",,1537,1032,-0.0161,-0.0538,0.0107,5278
2020-01-31,"Dixie County","FL",,1538,1229,-0.0178,-0.002,0.012,3908
2020-01-31,"Lewis County","WV",,1539,858,-0.0073,-0.0002,0.0056,7487
2020-01-31,"Iowa County","IA",,1540,949,0.0043,0.0029,0.0003,6619
2020-01-31,"Clark County","IL",,1541,1209,0.008,-0.0161,0.0273,4611
2020-01-31,"Floyd County","IA",,1542,791,0.0053,0.0126,-0.0167,6771
2020-01-31,"Osage County","KS","Topeka",1543,835,-0.0012,-0.0228,-0.024,7111
2020-01-31,"Rabun County","GA",,1544,1276,0.003,-0.0022,0.0362,13646
2020-01-31,"Brooks County","GA","Valdosta",1545,1018,-0.0105,-0.0167,0.0237,5460
2020-01-31,"Kanabec County","MN",,1546,1399,-0.0003,0.0143,0.0175,6387
2020-01-31,"Vermillion County","IN","Terre Haute",1547,851,-0.0035,-0.0435,0.0379,6207
2020-01-31,"Park County","CO","Denver-Aurora-Lakewood",1548,1778,0.001,0.0054,0.0397,14205
2020-01-31,"Aitkin County","MN",,1549,1311,0.0071,0.0101,0.0143,11957
2020-01-31,"Clay County","AR",,1550,828,0.016,0.0031,-0.0288,1236
2020-01-31,"Redwood County","MN",,1551,1001,0.0272,0.0566,-0.0166,3143
2020-01-31,"Greene County","GA",,1552,1227,0.0243,0.0299,0.0428,10493
2020-01-31,"Casey County","KY",,1553,812,-0.0091,0.0165,0.0121,4118
2020-01-31,"Tipton County","IN",,1554,989,-0.014,-0.0323,0.0407,5961
2020-01-31,"King William County","VA","Richmond",1555,1391,0.0009,-0.0017,0.0429,7424
2020-01-31,"Page County","IA",,1556,838,0.0201,0.0286,-0.0634,5922
2020-01-31,"Washburn County","WI",,1557,1014,0.0135,0.075,0.0627,3428
2020-01-31,"Dickenson County","VA","Big Stone Gap",1558,951,-0.0061,-0.034,-0.0189,3885
2020-01-31,"Arenac County","MI",,1559,860,-0.0115,-0.0034,0.0104,1609
2020-01-31,"Harrison County","OH",,1560,858,0.0106,-0.0022,0.0227,4982
2020-01-31,"Gulf County","FL","Panama City",1561,1398,0.0023,0.0227,0.0647,7655
2020-01-31,"Nottoway County","VA",,1562,1095,0.0157,0.0237,-0.0032,4878
2020-01-31,"Marshall County","OK",,1563,845,0.0241,0.0091,0.0221,5696
2020-01-31,"San Juan County","WA",,1564,1772,-0.0036,-0.0345,-0.0149,11059
2020-01-31,"Otoe County","NE",,1565,1061,0.0029,-0.0139,0.0059,6551
2020-01-31,"Madison County","AR","Fayetteville-Springdale-Rogers",1566,827,0.0133,0.0038,-0.0041,6313
2020-01-31,"Madison County","IA","Des Moines-West Des Moines",1567,929,-0.0023,0.0047,-0.0774,6875
2020-01-31,"Hamilton County","IA",,1568,915,0.0136,0.0041,-0.0168,6245
2020-01-31,"Dent County","MO",,1569,816,-0.0034,0.0356,0.0619,6216
2020-01-31,"Roseau County","MN",,1570,798,0.009,-0.0196,-0.0182,1036
2020-01-31,"Moniteau County","MO","Jefferson City",1571,922,-0.0278,-0.0027,0.0312,4480
2020-01-31,"Mitchell County","NC",,1572,1122,0.0021,-0.014,0.0065,6088
2020-01-31,"Macon County","MO",,1573,853,0.0127,0.0361,0.0092,6113
2020-01-31,"Kossuth County","IA",,1574,854,0.0111,-0.0101,0.0188,6676
2020-01-31,"Union County","FL",,1575,1338,-0.0092,-0.0314,0.0065,2513
2020-01-31,"Pecos County","TX",,1576,1245,0.0026,-0.0029,0.0447,3317
2020-01-31,"Gooding County","ID",,1577,1047,0.0164,0.02,0.061,4209
2020-01-31,"Burnett County","WI",,1578,1007,-0.0032,0.052,0.0638,1575
2020-01-31,"Henry County","KY","Louisville/Jefferson County",1579,1076,0.0054,-0.0011,0.0505,3699
2020-01-31,"Marquette County","WI",,1580,928,-0.0208,0.0073,0.0042,1273
2020-01-31,"Tallahatchie County","MS",,1581,873,-0.0001,-0.002,-0.0038,3147
2020-01-31,"Gunnison County","CO",,1582,1643,0.0089,0.0124,0.0658,22231
2020-01-31,"Brown County","IN","Indianapolis-Carmel-Anderson",1583,1200,-0.0019,-0.0065,0.0131,8596
2020-01-31,"Gasconade County","MO",,1584,856,0.0112,0.0124,0.0409,6838
2020-01-31,"Choctaw County","OK",,1585,800,0.0087,0.002,0.02,3567
2020-01-31,"Livingston County","MO",,1586,846,-0.0084,-0.0073,0.0044,5822
2020-01-31,"Bourbon County","KS",,1587,824,0.0219,0.022,0.035,5913
2020-01-31,"Mills County","IA","Omaha-Council Bluffs",1588,937,-0.0064,0.0198,-0.0547,5757
2020-01-31,"Morgan County","OH",,1589,867,-0.0003,-0.014,0.0126,5575
2020-01-31,"Kingfisher County","OK",,1590,1003,0.0029,0.0037,0.0551,4747
2020-01-31,"Craig County","OK",,1591,909,0.0057,-0.031,0.0167,5121
2020-01-31,"Nelson County","VA","Charlottesville",1592,1249,-0.0143,0.0046,0.0028,10465
2020-01-31,"Bayfield County","WI",,1593,936,-0.0229,0.0249,0.0139,1375
2020-01-31,"Appomattox County","VA","Lynchburg",1594,1126,0.0156,0.0366,-0.0126,7730
2020-01-31,"Cleburne County","AL",,1595,928,-0.0149,0.0212,0.0698,3978
2020-01-31,"Harrison County","IA","Omaha-Council Bluffs",1596,925,0.0052,-0.0086,-0.032,6268
2020-01-31,"Roane County","WV",,1597,841,0.0144,0.0186,0.0129,6111
2020-01-31,"Dooly County","GA",,1598,976,-0.0092,-0.0038,-0.0142,1886
2020-01-31,"Oglethorpe County","GA","Athens-Clarke County",1599,1222,0.0149,0.0185,0.0219,5579
2020-01-31,"Pendleton County","KY","Cincinnati",1600,957,-0.008,-0.0054,0.0058,3357
2020-01-31,"Butler County","IA",,1601,873,0.0016,0.0064,0.0093,6372
2020-01-31,"Missaukee County","MI","Cadillac",1602,885,-0.0208,-0.0043,-0.0101,1014
2020-01-31,"Moultrie County","IL",,1603,1035,0.0011,-0.016,0.0188,3832
2020-01-31,"Fulton County","PA",,1604,997,0.0135,-0.0291,-0.0449,4400
2020-01-31,"Grand County","CO",,1605,1876,-0.0246,-0.0248,-0.0071,22782
2020-01-31,"Karnes County","TX",,1606,1225,0.027,-0.0121,0.0135,3226
2020-01-31,"Chowan County","NC",,1607,1058,0.0234,0.0191,-0.0064,6123
2020-01-31,"Andrews County","TX","Andrews",1608,1367,0.002,-0.0015,0.062,5801
2020-01-31,"Rusk County","WI",,1609,999,0.0069,0.0572,0.0331,1164
2020-01-31,"Macon County","GA",,1610,978,0.018,0.0081,-0.0411,3415
2020-01-31,"Estill County","KY",,1611,856,0.0126,0.0041,0.0169,3774
2020-01-31,"Noble County","OH",,1612,850,-0.0203,-0.0159,-0.0096,2403
2020-01-31,"Monroe County","OH",,1613,894,-0.0014,0.0056,0.02,5134
