fips,Median Home Value,decile
18165.0,77400.0,1
18167.0,92400.0,3
18169.0,97200.0,3
18171.0,115400.0,5
18173.0,162700.0,8
18175.0,113200.0,5
18177.0,97400.0,3
18179.0,120700.0,5
18181.0,110300.0,5
18183.0,138700.0,7
19001.0,100100.0,4
19003.0,86100.0,2
19005.0,124900.0,6
19007.0,78000.0,1
19009.0,71100.0,1
19011.0,157800.0,8
19013.0,143100.0,7
19015.0,131900.0,6
19017.0,162100.0,8
19019.0,138000.0,7
19021.0,112700.0,5
19023.0,115800.0,5
19025.0,80000.0,2
19027.0,132700.0,6
19029.0,97800.0,3
19031.0,150700.0,7
19033.0,124400.0,6
19035.0,95200.0,3
19037.0,112000.0,5
19039.0,104700.0,4
19041.0,120600.0,5
19043.0,121000.0,5
19045.0,114900.0,5
19047.0,90700.0,3
19049.0,231000.0,9
19051.0,114000.0,5
19053.0,76800.0,1
19055.0,134200.0,6
19057.0,103600.0,4
19059.0,179300.0,8
19061.0,160900.0,8
19063.0,86400.0,2
19065.0,94800.0,3
19067.0,104700.0,4
19069.0,88500.0,2
19071.0,102700.0,4
19073.0,94300.0,3
19075.0,131200.0,6
19077.0,115900.0,5
19079.0,101600.0,4
19081.0,102900.0,4
19083.0,92900.0,3
19085.0,115200.0,5
19087.0,108700.0,4
19089.0,107600.0,4
19091.0,102300.0,4
19093.0,96200.0,3
19095.0,146400.0,7
19097.0,123500.0,6
19099.0,128000.0,6
19101.0,109400.0,4
19103.0,216900.0,9
19105.0,133000.0,6
19107.0,88800.0,3
19109.0,103600.0,4
19111.0,93300.0,3
19113.0,153700.0,7
19115.0,108500.0,4
19117.0,87600.0,2
19119.0,132400.0,6
19121.0,166500.0,8
19123.0,114000.0,5
19125.0,152400.0,7
19127.0,105500.0,4
19129.0,165200.0,8
19131.0,114400.0,5
19133.0,86700.0,2
19135.0,92500.0,3
19137.0,83400.0,2
19139.0,127100.0,6
19141.0,111400.0,5
19143.0,91900.0,3
19145.0,91400.0,3
19147.0,100000.0,4
19149.0,155900.0,7
19151.0,75400.0,1
19153.0,171800.0,8
19155.0,136900.0,6
19157.0,140200.0,7
19159.0,89100.0,3
19161.0,90500.0,3
19163.0,158200.0,8
19165.0,117000.0,5
19167.0,159400.0,8
19169.0,180400.0,8
19171.0,107800.0,4
19173.0,79500.0,2
19175.0,99800.0,4
19177.0,90900.0,3
19179.0,82000.0,2
19181.0,176600.0,8
19183.0,148700.0,7
19185.0,77600.0,1
19187.0,96600.0,3
19189.0,94100.0,3
19191.0,167800.0,8
19193.0,117700.0,5
19195.0,104300.0,4
19197.0,85300.0,2
20001.0,78700.0,2
20003.0,93400.0,3
20005.0,101600.0,4
20007.0,66400.0,1
20009.0,92300.0,3
20011.0,83300.0,2
20013.0,88700.0,2
20015.0,147100.0,7
20017.0,96200.0,3
20019.0,62500.0,1
20021.0,80300.0,2
20023.0,84000.0,2
20025.0,77700.0,1
20027.0,97300.0,3
20029.0,73900.0,1
20031.0,117700.0,5
20033.0,78800.0,2
20035.0,87300.0,2
20037.0,91000.0,3
20039.0,64700.0,1
20041.0,109500.0,4
20043.0,101000.0,4
20045.0,192800.0,9
20047.0,60600.0,1
20049.0,50400.0,1
20051.0,164500.0,8
20053.0,94200.0,3
20055.0,140500.0,7
20057.0,109900.0,5
20059.0,125600.0,6
20061.0,142200.0,7
20063.0,80600.0,2
20065.0,70100.0,1
20067.0,109000.0,4
20069.0,131300.0,6
20071.0,97900.0,3
20073.0,63500.0,1
20075.0,84600.0,2
20077.0,72300.0,1
20079.0,123100.0,6
20081.0,104700.0,4
20083.0,81700.0,2
20085.0,132500.0,6
20087.0,145000.0,7
20089.0,52800.0,1
20091.0,244100.0,10
20093.0,109500.0,4
20095.0,94200.0,3
20097.0,119900.0,5
20099.0,78800.0,2
20101.0,76700.0,1
20103.0,173900.0,8
20105.0,73200.0,1
20107.0,99800.0,4
20109.0,87200.0,2
20111.0,104100.0,4
20113.0,146600.0,7
20115.0,86800.0,2
20117.0,94900.0,3
20119.0,92700.0,3
20121.0,191100.0,9
20123.0,85300.0,2
20125.0,75000.0,1
20127.0,101200.0,4
20129.0,94700.0,3
20131.0,123500.0,6
20133.0,81200.0,2
20135.0,73400.0,1
20137.0,75100.0,1
20139.0,110700.0,5
20141.0,68500.0,1
20143.0,98800.0,4
20145.0,75300.0,1
20147.0,80000.0,2
20149.0,181200.0,8
20151.0,93200.0,3
20153.0,95000.0,3
20155.0,98100.0,3
20157.0,62800.0,1
20159.0,74700.0,1
20161.0,194800.0,9
20163.0,78000.0,1
20165.0,72300.0,1
20167.0,89300.0,3
20169.0,128500.0,6
20171.0,134200.0,6
20173.0,135600.0,6
20175.0,98200.0,3
20177.0,130500.0,6
20179.0,106900.0,4
20181.0,92700.0,3
20183.0,66900.0,1
20185.0,62200.0,1
20187.0,79700.0,2
20189.0,111900.0,5
20191.0,87400.0,2
20193.0,120800.0,5
20195.0,90100.0,3
20197.0,129100.0,6
20199.0,99300.0,4
20201.0,78200.0,1
20203.0,88900.0,3
20205.0,67400.0,1
20207.0,59800.0,1
20209.0,95600.0,3
21001.0,89600.0,3
21003.0,112300.0,5
21005.0,142200.0,7
21007.0,99800.0,4
21009.0,116500.0,5
21011.0,88200.0,2
21013.0,59900.0,1
21015.0,186500.0,9
21017.0,142000.0,7
21019.0,110000.0,5
21021.0,142100.0,7
21023.0,102000.0,4
21025.0,50800.0,1
21027.0,99600.0,4
21029.0,157900.0,8
21031.0,90100.0,3
21033.0,89100.0,3
21035.0,137200.0,6
21037.0,168300.0,8
21039.0,93500.0,3
21041.0,111200.0,5
21043.0,88400.0,2
21045.0,80700.0,2
21047.0,113900.0,5
21049.0,141600.0,7
21051.0,58300.0,1
21053.0,65400.0,1
21055.0,89800.0,3
21057.0,91400.0,3
21059.0,130800.0,6
21061.0,90800.0,3
21063.0,75400.0,1
21065.0,75300.0,1
21067.0,180700.0,8
21069.0,92300.0,3
21071.0,72700.0,1
21073.0,142100.0,7
21075.0,63100.0,1
21077.0,111900.0,5
21079.0,139100.0,7
21081.0,129000.0,6
21083.0,98800.0,4
21085.0,107000.0,4
21087.0,77500.0,1
21089.0,109100.0,4
21091.0,110300.0,5
21093.0,153900.0,7
21095.0,58500.0,1
21097.0,137200.0,6
21099.0,92500.0,3
21101.0,127200.0,6
21103.0,129000.0,6
21105.0,79100.0,2
21107.0,105900.0,4
21109.0,78200.0,1
21111.0,164400.0,8
21113.0,168100.0,8
21115.0,96300.0,3
21117.0,155200.0,7
21119.0,51200.0,1
21121.0,82400.0,2
21123.0,107500.0,4
21125.0,107500.0,4
21127.0,82300.0,2
21129.0,65000.0,1
21131.0,62000.0,1
21133.0,58500.0,1
21135.0,67400.0,1
21137.0,100500.0,4
21139.0,104900.0,4
21141.0,108900.0,4
21143.0,134100.0,6
21145.0,138900.0,7
21147.0,64400.0,1
21149.0,98500.0,4
21151.0,155000.0,7
21153.0,72300.0,1
21155.0,103100.0,4
21157.0,123000.0,6
21159.0,67500.0,1
21161.0,119500.0,5
21163.0,150700.0,7
21165.0,78600.0,2
21167.0,144200.0,7
21169.0,78300.0,2
21171.0,74600.0,1
21173.0,117200.0,5
21175.0,75000.0,1
21177.0,85700.0,2
21179.0,149500.0,7
21181.0,84600.0,2
21183.0,91300.0,3
21185.0,271900.0,10
21187.0,99400.0,4
21189.0,71900.0,1
21191.0,104900.0,4
21193.0,73800.0,1
21195.0,78400.0,2
21197.0,79600.0,2
21199.0,110500.0,5
21201.0,100100.0,4
21203.0,80800.0,2
21205.0,125800.0,6
21207.0,85700.0,2
21209.0,178400.0,8
21211.0,187200.0,9
21213.0,131600.0,6
21215.0,201300.0,9
21217.0,117200.0,5
21219.0,102900.0,4
21221.0,124400.0,6
21223.0,118100.0,5
21225.0,86500.0,2
21227.0,160600.0,8
21229.0,113700.0,5
21231.0,81200.0,2
21233.0,81300.0,2
21235.0,87700.0,2
