NAME,fips,% Housing Units Occupied,% Unemployment Rate,% Born in State,% <HS,% HS Grad,% Some College,% Bach Degree,% Grad Degree,% Below Pov Level,Commute Time,Median Income,Median Home Value,state_1.0,state_2.0,state_4.0,state_5.0,state_6.0,state_8.0,state_9.0,state_10.0,state_11.0,state_12.0,state_13.0,state_15.0,state_16.0,state_17.0,state_18.0,state_19.0,state_20.0,state_21.0,state_22.0,state_23.0,state_24.0,state_25.0,state_26.0,state_27.0,state_28.0,state_29.0,state_30.0,state_31.0,state_32.0,state_33.0,state_34.0,state_35.0,state_36.0,state_37.0,state_38.0,state_39.0,state_40.0,state_41.0,state_42.0,state_44.0,state_45.0,state_46.0,state_47.0,state_48.0,state_49.0,state_50.0,state_51.0,state_53.0,state_54.0,state_55.0,state_56.0
"Lowndes County, Mississippi",28087,0.833895571,0.052,0.715581204,0.093965039,0.208052223,0.202819792,0.096858859,0.059710281,0.214664266,494185,26367,131800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leflore County, Mississippi",28083,0.777372263,0.052,0.855958932,0.128640451,0.221413233,0.150348946,0.064689303,0.041236076,0.37387599,133005,17595,79700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harrison County, Mississippi",28047,0.856908467,0.056,0.548932516,0.085137149,0.193711567,0.233410322,0.093058147,0.053551864,0.195897861,2001695,25390,144500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lincoln County, Mississippi",28085,0.828724641,0.038,0.812093401,0.090003485,0.250871283,0.222815985,0.066246515,0.04138592,0.216600836,359045,23151,99600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Winston County, Mississippi",28159,0.834857207,0.044,0.880814904,0.139503214,0.224425319,0.211515416,0.07876675,0.035406907,0.224425319,188830,21316,84100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yazoo County, Mississippi",28163,0.856903353,0.065,0.762636734,0.152677486,0.250232359,0.171266176,0.064309716,0.034138843,0.272002574,199170,18750,81400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jasper County, Mississippi",28061,0.801581596,0.031,0.835682739,0.115372981,0.253856858,0.213866538,0.066005203,0.032730353,0.230503963,215210,22112,73400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jones County, Mississippi",28067,0.854806432,0.036,0.82318053,0.109504193,0.199988313,0.211251351,0.077015222,0.057615333,0.209206182,590165,23603,92100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monroe County, Mississippi",28095,0.8471376,0.035,0.820396205,0.130664063,0.246791295,0.193889509,0.081389509,0.037276786,0.177678571,334690,23768,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sunflower County, Mississippi",28133,0.866721769,0.074,0.87445349,0.179895975,0.195650535,0.186265641,0.066824966,0.035466606,0.265603799,149570,17597,73900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Webster County, Mississippi",28155,0.781146865,0.026,0.834350834,0.104293854,0.249593,0.206654457,0.075396825,0.042022792,0.252543753,101250,21032,83100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams County, Mississippi",28001,0.774129693,0.045,0.735125368,0.153516975,0.245887089,0.185057216,0.074143342,0.052746695,0.314768441,195505,17812,92800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clay County, Mississippi",28025,0.837382572,0.061,0.841478191,0.124394184,0.229806139,0.186944669,0.088550081,0.047707997,0.2296042,159315,21664,87400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
